,ISIN,Position Date,Aggregated short
328,GB0006640972,2020-02-04 00:00:00,0.46
329,GB0006640972,2020-02-05 00:00:00,0.46
330,GB0006640972,2020-02-06 00:00:00,0.46
331,GB0006640972,2020-02-07 00:00:00,0.46
332,GB0006640972,2020-02-10 00:00:00,0.46
333,GB0006640972,2020-02-11 00:00:00,0.46
334,GB0006640972,2020-02-12 00:00:00,0.46
335,GB0006640972,2020-02-13 00:00:00,0.46
336,GB0006640972,2020-02-14 00:00:00,0.46
337,GB0006640972,2020-02-17 00:00:00,0.46
338,GB0006640972,2020-02-18 00:00:00,0.46
339,GB0006640972,2020-02-19 00:00:00,0.46
340,GB0006640972,2020-02-20 00:00:00,0.46
341,GB0006640972,2020-02-21 00:00:00,0.46
342,GB0006640972,2020-02-24 00:00:00,0.46
343,GB0006640972,2020-02-25 00:00:00,0.46
344,GB0006640972,2020-02-26 00:00:00,0.46
345,GB0006640972,2020-02-27 00:00:00,0.46
346,GB0006640972,2020-02-28 00:00:00,0.46
347,GB0006640972,2020-03-02 00:00:00,0.46
348,GB0006640972,2020-03-03 00:00:00,0.46
349,GB0006640972,2020-03-04 00:00:00,0.46
350,GB0006640972,2020-03-05 00:00:00,0.46
351,GB0006640972,2020-03-06 00:00:00,0.46
352,GB0006640972,2020-03-09 00:00:00,0.46
353,GB0006640972,2020-03-10 00:00:00,0.46
354,GB0006640972,2020-03-11 00:00:00,0.46
355,GB0006640972,2020-03-12 00:00:00,0.46
356,GB0006640972,2020-03-13 00:00:00,0.46
357,GB0006640972,2020-03-16 00:00:00,0.46
358,GB0006640972,2020-03-17 00:00:00,0.46
359,GB0006640972,2020-03-18 00:00:00,0.46
360,GB0006640972,2020-03-19 00:00:00,0.46
361,GB0006640972,2020-03-20 00:00:00,0.46
362,GB0006640972,2020-03-23 00:00:00,0.46
363,GB0006640972,2020-03-24 00:00:00,0.46
364,GB0006640972,2020-03-25 00:00:00,0.46
365,GB0006640972,2020-03-26 00:00:00,0.46
366,GB0006640972,2020-03-27 00:00:00,0.46
367,GB0006640972,2020-03-30 00:00:00,0.46
368,GB0006640972,2020-03-31 00:00:00,0.46
369,GB0006640972,2020-04-01 00:00:00,0.46
370,GB0006640972,2020-04-02 00:00:00,0.46
371,GB0006640972,2020-04-03 00:00:00,0.46
372,GB0006640972,2020-04-06 00:00:00,0.46
373,GB0006640972,2020-04-07 00:00:00,0.46
374,GB0006640972,2020-04-08 00:00:00,0.46
375,GB0006640972,2020-04-09 00:00:00,0.46
376,GB0006640972,2020-04-10 00:00:00,0.46
